	1_MV294.R1	1_MV302.R1	1_MV326.R1	1_MV363A.R1	2_MV254.R1	2_MV257.R1	2_MV259.R1	2_MV262.R1	2_MV265.R1	2_MV267.R1	2_MV271.R1	2_MV273.R1	2_MV275.R1	2_MV278.R1	2_MV280.R1	2_MV282.R1	2_MV287.R1	2_MV289.R1	2_MV294.R1	2_MV296.R1	2_MV302.R1	2_MV304.R1	2_MV306.R1	2_MV308.R1	2_MV310.R1	2_MV312.R1	2_MV314.R1	2_MV316.R1	2_MV318.R1	2_MV320.R1	2_MV322.R1	2_MV325.R1	2_MV327.R1	2_MV329.R1	2_MV331.R1	2_MV333.R1	2_MV336.R1	2_MV338.R1	2_MV340.R1	2_MV342.R1	2_MV344.R1	2_MV347.R1	2_MV349.R1	2_MV351.R1	2_MV353.R1	2_MV355.R1	2_MV357.R1	2_MV359.R1	2_MV361.R1	2_MV363A.R1	2_MV364.R1	2_MV366.R1	2_MV368.R1	2_MV371.R1	2_MV373.R1	2_MV375.R1	2_MVM2.R1	3_258.R1	3_260.R1	3_261.R1	3_263.R1	3_266.R1	3_270.R1	3_272.R1	3_274.R1	3_276.R1	3_279.R1	3_281.R1	3_286.R1	3_288.R1	3_290.R1	3_295.R1	3_300.R1	3_303.R1	3_305.R1	3_307.R1	3_309.R1	3_311.R1	3_313.R1	3_315.R1	3_317.R1	3_319.R1	3_321.R1	3_323.R1	3_324.R1	3_326.R1	3_328.R1	3_330.R1	3_332.R1	3_335.R1	3_337.R1	3_339.R1	3_341.R1	3_343.R1	3_348.R1	3_350.R1	3_352.R1	3_354.R1	3_356.R1	3_358.R1	3_360.R1	3_362.R1	3_363B.R1	3_365.R1	3_367.R1	3_369.R1	3_370.R1	3_372.R1	3_374.R1	3_M1.R1	4_MV260_R1.fastq	4_MV294_R1.fastq	4_MV302_R1.fastq	4_MV317_R1.fastq	4_MV326_R1.fastq	4_MV363A_R1.fastq	5_263B_R1.fastq	5_325A_R1.fastq	5_336A_R1.fastq	5_337B_R1.fastq	5_339A_R1.fastq	5_357B_R1.fastq	5_358B_R1.fastq	5_376_R1.fastq	5_377_R1.fastq	5_378_R1.fastq	5_379_R1.fastq	5_380_R1.fastq	5_381_R1.fastq	5_382_R1.fastq	5_383_R1.fastq	5_384_R1.fastq	5_385_R1.fastq	5_386_R1.fastq	5_387_R1.fastq	5_388_R1.fastq	5_389_R1.fastq	5_390_R1.fastq	5_391_R1.fastq	5_392_R1.fastq	5_393_R1.fastq	5_C10N10P_R1.fastq	5_C10N7P_R1.fastq	5_C11N11P_R1.fastq	5_C11N5P_R1.fastq	5_C11N7P_R1.fastq	5_C13N10P_R1.fastq	5_C13N7P_R1.fastq	5_C15N10P_R1.fastq	5_C15N7P_R1.fastq	5_C17N10P_R1.fastq	5_C17N5P_R1.fastq	5_C17N8P_R1.fastq	5_C1N2P_R1.fastq	5_C1N5P_R1.fastq	5_C1N5V_R1.fastq	5_C2N4P_R1.fastq	5_C2N4V_R1.fastq	5_C2N5P_R1.fastq	5_C2N7P_R1.fastq	5_C2N7V_R1.fastq	5_C3N12P_R1.fastq	5_C3N4P_R1.fastq	5_C3N9P_R1.fastq	5_C4N10P_R1.fastq	5_C4N4-6P_R1.fastq	5_C4N4-6V_R1.fastq	5_C4N7P_R1.fastq	5_C7N10-11P_R1.fastq	5_C7N3-4P_R1.fastq	5_C7N7-6V_R1.fastq	5_C7N7P_R1.fastq	5_C8N5P_R1.fastq	5_C8N7P_R1.fastq	5_C8N9P_R1.fastq	5_C9N12P_R1.fastq	5_C9N5P_R1.fastq	5_C9N8P_R1.fastq	5_MVBUCKETP_R1.fastq	5_MVBUCKETV_R1.fastq	6_308_R1.fastq	6_309_R1.fastq	6_310_R1.fastq	6_338_R1.fastq	6_394_R1.fastq	6_395_R1.fastq	6_396_R1.fastq	6_397_R1.fastq	6_398_R1.fastq	6_399_R1.fastq	6_400Milli_R1.fastq	6_400Ster_R1.fastq	6_DockA_R1.fastq	6_DockB_R1.fastq	6_SynCommunityA_R1.fastq	6_SynCommunityB_R1.fastq	6_SynCommunityC_R1.fastq	6_SynCommunityD_R1.fastq
ASV_1	6052	3672	5614	11239	452	2169	2771	15398	9067	26799	10757	19159	9635	12139	9984	6945	10576	22264	10267	13113	5586	3697	12488	6687	11001	7089	9631	15937	4829	4058	6094	8314	15200	20700	14005	6556	6593	4072	17164	16273	19081	10808	15432	10919	3756	14180	8127	15797	18932	15184	19966	24661	9460	317	14703	8817	0	437	4584	5050	3642	7878	5250	12335	2862	5970	4581	3218	6917	3181	8118	9405	3841	5858	10364	11627	8652	11483	4861	13644	6556	3738	3774	3534	9409	5691	6728	7064	2607	5215	3708	2169	8575	10228	7767	4242	2621	4659	6792	5890	10714	9533	7929	8215	8046	4669	718	5788	5145	0	6968	11170	5376	22937	7000	11522	7108	7295	7114	5980	3020	9469	11118	10981	7481	11771	21243	5047	25880	11106	1951	10043	23902	36254	9409	8632	10362	31820	3472	19973	10768	0	0	66	0	59	65	63	0	0	0	0	0	2638	0	162	475	1454	359	400	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	1311	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	2418	6104	774	6407	2912	26177	24713	6645	638	1050	4766	12039	16139	16750	17308	21070	14442	5687	2932	3033	9122	24641	9540	2137	699	3988	14122	6721	8324	15668	5519	1615	1805	8268	23405	17291	1019	742	113	9793	6808	19210	11422	21874	11155	8218	1271	267	3225	6287	2486	3373	13460	17792	22262	17028	1332	9505	9086	12935	625	184	3036	3536	8731	9769	9258	12311	17854	6019	2604	1732	6099	8600	17024	3511	313	1549	4371	6233	2174	7495	4564	7671	3098	587	3122	5676	16348	3280	558	0	1855	3682	8489	7406	12099	7760	1133	245	625	1891	2687	3759	15188	4997	3383	13251	7819	5537	15805	4362	9212	7609	649	6057	1120	1208	1026	883	0	1188	401	16488	2509	648	1557	2448	6870	5689	10265	9398	10236	18996	16391	16521	11654	4100	2575	4544	581	2276	6050	5404	4556	4004	7552	4281	5354	1532	0	970	1451	23804	4500	10803	18168	18137	13111	16577	15295	2471	1282	7820	1700	4533	4096	3435	4872	3269	2347	2636	838	5691	4548	10307	6453	12531	13984	12591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	11088	1560	23930	14611	1480	6727	3383	19662	24596	21233	4102	2914	1803	2406	3818	4578	7274	8592	12326	11918	1931	3441	9020	6302	5728	11700	17461	2507	3606	3965	1345	18999	25397	5178	4369	3928	10321	14702	12203	30561	6990	1415	2484	7295	2310	11176	6250	4635	13060	13538	871	547	1152	1037	1787	1870	0	1018	4796	3852	9541	14149	13260	2482	1021	980	2008	2060	5398	2363	4534	14363	7459	960	3758	10532	3365	16763	10995	5248	1119	2246	1741	1942	9035	18389	21153	1809	4002	4003	10062	1113	27309	6133	1040	960	3090	5747	4542	3170	5578	7233	2585	1393	1458	411	187	820	776	277	8059	20837	2219	3915	25598	13887	18569	20283	12506	16203	2864	6789	6866	4460	22262	10070	8289	9031	33582	17798	13381	9609	5661	5527	4069	4711	3594	12267	22386	57320	15655	91	310	765	438	473	1058	595	528	171	0	208	63	3906	670	1690	5256	5247	3405	4080	3751	121	394	570	0	414	417	85	180	991	153	160	83	341	234	1690	942	2132	2626	2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	9778	178	3745	1352	0	804	6858	20481	40436	52082	318	3113	2218	2960	3841	4409	2511	31109	16128	5105	307	453	6336	13343	16285	1337	674	56	381	578	2986	11938	20110	3291	4006	1432	10664	14481	14738	2932	1323	935	3375	3106	7961	15712	9246	27252	4698	1955	397	542	724	3844	9050	2707	0	2215	4374	3540	11165	5836	1027	1826	424	1368	2302	3894	2405	1340	13293	11720	113	646	1511	15421	15632	8472	1039	277	111	425	980	3520	11431	3736	1546	1002	1435	661	13060	29227	2625	702	1135	1671	4367	3302	12806	11599	2816	2208	376	267	483	591	2911	16224	2056	0	8210	17619	269	427	6472	2213	22380	12215	11470	20408	43363	10251	21041	4362	10549	8354	23496	10283	7964	4091	95	299	1107	4415	2145	1467	644	2720	1943	14556	4138	0	0	21	0	0	23	24	0	0	0	0	0	1444	83	334	125	461	65	73	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	334	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	271	1868	0	2822	1864	8559	8690	529	0	0	3786	4843	2769	3182	2789	2137	1588	1175	294	1616	3466	7900	1674	233	0	596	5650	3880	2141	3405	1446	0	0	3733	4822	1973	0	51	0	3227	8243	1772	2131	2803	3148	1257	0	86	900	3056	2088	3119	3375	4525	11181	5157	0	3467	2628	1636	0	0	595	2198	1515	1841	946	1760	2596	1013	523	617	2054	3645	3566	435	28	164	1052	4500	989	1666	1195	5783	217	0	463	1268	3476	244	49	0	218	1326	1280	1918	2638	1073	83	0	57	410	2889	1822	2405	3181	2690	5268	3835	0	4629	578	2992	2710	0	2782	54	29	39	68	0	0	0	1472	93	33	137	169	192	301	4329	4319	3884	6272	3884	3662	8874	612	83	172	0	90	532	1072	345	1295	1346	1000	740	306	84	0	99	15790	2811	6400	2797	3870	1697	2423	2146	361	0	758	90	420	368	352	616	70	122	304	0	795	501	2807	1556	2524	6029	5441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	198	1283	0	4134	521	1369	995	1193	0	271	1604	1797	2051	3010	1248	3857	4080	621	270	3221	1378	1736	1224	301	77	3409	5067	5421	1882	2753	896	0	270	4477	5316	3324	0	19	0	6091	3443	1532	2731	7699	1362	2113	210	43	1742	4004	3411	6613	3819	965	6886	9725	0	216	2476	5714	16	0	1605	1365	1107	1192	1649	1338	7129	1866	580	148	1456	588	4173	379	0	353	4675	2320	2682	1089	1468	2593	647	0	1558	2085	2581	701	0	0	213	2199	1690	1867	1528	3342	206	0	215	1353	4218	1358	3495	3366	408	2189	5336	0	3315	345	1015	6449	0	4480	0	54	41	0	0	220	0	3361	0	0	261	224	2506	2360	3089	3537	2681	3950	4552	3380	8752	644	0	0	0	354	822	2079	941	1823	2870	2587	872	633	208	0	346	4878	953	1062	3194	3838	3049	2976	2388	604	88	806	0	0	1103	195	286	0	0	0	0	421	329	1529	802	2503	2218	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	2743	0	16779	0	3643	8784	128	0	0	3697	3117	2710	2289	5725	5965	1993	834	0	3649	3802	1735	1193	0	0	2173	6585	2726	1279	3303	3743	0	0	4482	2481	2407	0	0	0	3799	8929	7828	4506	4190	4284	942	0	0	831	19561	5719	3042	3887	7878	5386	1625	0	5434	1234	1182	0	0	2016	3801	1317	1274	1205	6295	2997	1213	305	389	2124	1484	2030	0	0	0	3398	7691	1440	2079	1144	1701	154	0	1243	1270	2197	126	0	0	894	4425	2081	1287	3380	732	0	0	125	1117	3703	2608	2714	1123	1940	7373	1320	0	975	186	1817	2260	0	10243	0	0	0	0	0	0	0	869	0	0	0	0	264	890	401	1642	2960	8777	2001	2704	3620	0	0	0	0	0	0	255	0	204	333	255	58	0	0	0	0	5418	0	491	793	2205	473	628	346	20	0	32	25	0	215	60	6	0	0	15	0	90	28	0	63	306	234	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	815	0	220	550	4466	7338	0	0	0	1285	2223	4239	5282	5041	5018	1579	372	0	457	971	2314	0	0	0	0	2348	6023	1635	3887	1856	0	0	4475	3458	3604	0	0	0	0	428	421	972	3795	5513	614	0	0	0	341	2771	8073	4286	8056	9011	4001	0	2605	3017	1913	0	0	0	604	1779	1983	3190	3202	3822	1306	188	0	839	1514	1441	0	0	0	0	1965	1392	1572	938	1553	0	0	0	1497	4957	132	0	0	0	120	603	1396	4314	694	0	0	0	0	2286	1206	2709	3845	6666	4494	2552	0	3617	0	816	4276	0	271	0	0	0	0	0	0	0	1145	0	0	0	0	0	0	716	0	4954	10382	6117	5358	6876	0	0	0	0	310	984	2143	0	0	2683	2354	948	791	0	89	127	19816	0	4509	2783	3332	2267	2673	1863	663	0	1508	67	0	1434	342	88	275	0	127	74	346	301	0	0	2232	2620	2170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	874	1254	0	346	194	6089	10436	813	0	561	136	2838	2101	3943	5207	6490	2899	2829	1264	2523	1792	2360	2361	648	0	709	937	123	739	2586	1766	0	362	2412	3302	2811	0	0	0	1820	228	163	779	2930	4645	2197	0	0	1056	445	173	190	1633	1035	1576	966	0	4894	3352	2150	0	0	273	968	831	1388	3490	4114	7189	2962	1570	205	105	1177	2073	863	0	447	754	241	47	958	1159	3042	543	0	385	708	3765	226	0	0	810	226	241	530	3539	1319	199	0	260	421	236	168	2159	647	1416	1186	722	0	5651	1718	1974	208	0	567	0	0	0	0	0	0	0	964	280	119	826	1190	800	772	864	1465	1783	5104	4824	3346	884	107	0	207	0	0	0	510	540	350	931	512	464	111	0	354	0	3304	1062	3951	2760	3048	637	1308	622	55	5204	288	0	732	749	0	38	1661	0	111	651	144	0	1424	636	1858	1110	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	2917	0	8624	80	3314	0	0	405	14721	0	0	0	0	0	0	0	0	2666	4732	0	0	0	0	1295	461	0	0	0	0	0	0	6224	97	0	0	0	12750	4873	239	0	0	0	0	0	0	348	5427	3273	405	0	0	0	0	0	0	0	0	0	0	0	1137	2685	0	0	16	0	0	66	0	0	999	228	0	0	0	476	3434	119	0	0	0	0	0	0	1160	8339	0	0	0	0	2987	938	21	0	0	0	0	0	2568	5062	524	290	0	0	0	0	0	10	12	0	0	4226	0	0	11625	113	1727	6398	13464	4765	836	5581	7709	37	12941	9969	6301	1152	428	88	0	0	0	0	0	0	0	2655	1494	14994	13531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
